 00000298 00049a00 00890000 9a800188
 6302009a fb008800 0f9a0008 ef510000
 630000fe fb009a63 0f8940ff ee02000f
 730007cc fb00ff63 4fba4bfb fa00fb0e
 637b0fe8 f90fee73 0fff63fb e463cb0f
 08f207e4 980ffa73 49ee6afb d463bb8f
 00db0fd4 9a0ba401 497a63b8 f173fb09
 0cfe4af5 980ff410 41ec49d8 8165b84b
 00184981 9849f500 c9d44098 5f009801
 63984bdb 63298100 b2f500b8 f800b849
 679c41f8 63495f63 b2a00063 f5009882
