 00000088 00009a00 00880000 9a000000
 6300009a fb008800 0f9a0000 ff000000
 630000ff fb009a63 0f8800fb ee00000f
 63000fee fb00ff63 0f9a63fb fa00fb0f
 63fb0ffa fb0fee63 0fff63fb e463fb0f
 00fb0fe4 980ffa63 49ee63fb d463fb0f
 00fb0fd4 980fe400 49fa6398 f563fb49
 00fb49f5 980fd400 49e40098 81639849
 00984981 9849f500 49d40098 5f009849
 6398495f 63498100 b2f50098 f8009849
 639849f8 63495f63 b2810063 f40098b2
