 00000288 00000000 02200880 21100000
 24008023 6304dc80 43000000 60800188
 aa000242 f7102326 fbc90043 f9000061
 910023f9 ac0442aa 6a2306f7 030063fb
 ce63fbc3 ee63f999 9160aaac 6e26b728
 31f3486e adfb81ec 4bb989ee f3a8ad91
 a7ac91f3 a1682eb9 6ea3ec8d 6a9dae4b
 9aee416a f091f3a7 586ee9a1 5ceea96e
 b6ad265d fa4b2a9b 1df327f1 50b9855a
 ea815e50 896c5ca4 66439b7a 4ca7d019
 cef0194c 265250ee 895cac89 6f9bfa66

